SymbolID;Recommendations
S17332105;{876,Hold,0.1168291,0}{3708,Buy,0.1957311,13}{3373,Buy,0.3082215,19}{3644,Buy,NA,24}{876,Hold,0.1413431,24}{3383,Hold,0.01481632,26}
S3511390;{4034,Sell,0.8104227,0}{4222,Buy,1.514476,0}{4876,Hold,NA,34}{4876,Hold,NA,40}{4876,Hold,1.22873,45}{4876,Hold,1.164645,47}{3807,Buy,NA,49}{847,Hold,1.15658,49}
S1090848;{3249,Buy,0.2218774,0}{4257,Buy,0.2308998,1}{15109,Hold,-0.06561903,3}{3599,Hold,-0.03219435,26}
S4225656;{3813,Hold,-0.08648888,0}{4306,Sell,NA,14}{3457,Hold,0.01705523,22}{3813,Hold,-0.02239041,44}
S12434156;{4401,Buy,0.0938743,0}{3305,Buy,0.1528523,5}{3705,Buy,0.3046179,13}{4705,Sell,-0.06813005,13}{146240,Sell,NA,14}{13455,Sell,-0.06601571,15}{949,Buy,0.3305174,16}{1913,Hold,NA,17}{11096,Buy,NA,17}{22704,Buy,0.1947181,17}{3161,Buy,0.1394809,18}{1992,Hold,0.07617641,18}{860,Buy,0.2271215,19}{31786,Hold,NA,19}{3172,Hold,NA,22}{3705,Buy,0.3016529,23}{1913,Hold,NA,24}{860,Buy,0.1807084,34}{4705,Sell,-0.10018,40}{860,Buy,0.2127441,52}
S39189147;{1415,Buy,0.3066771,0}{126269,Sell,-0.1179929,0}{7229,Buy,0.1941591,24}{1281,Hold,0.08067822,29}
S47439160;{3673,Buy,0.2498438,0}{3673,Buy,0.16171,26}{1209,Buy,0.05941962,30}
S6419125;{1856,Buy,0.1837198,0}
S94311056;{4404,Hold,0.2117823,0}{1864,Buy,0.2497768,2}{3133,Buy,0.3390466,2}{3120,Buy,0.1881365,4}{736,Buy,0.2479943,5}{1573,Hold,0.0417571,6}{3167,Buy,0.3021964,6}{3084,Buy,0.3803282,6}{2109,Buy,0.3021964,6}{3112,Buy,0.232574,8}{4404,Hold,0.1050663,8}{430,Buy,0.1061947,9}{868,Hold,-0.02144316,9}{2144,Buy,0.3189244,9}{3864,Buy,0.2168142,9}{2109,Buy,0.2763785,9}{1049,Buy,0.3444358,11}{3111,Hold,0.0842224,11}{3116,Buy,0.257698,11}{2208,Buy,0.7347558,11}{3167,Buy,0.5015015,12}{3120,Buy,0.2387868,13}{22492,Hold,-0.13552,15}{1736,Buy,0.2034918,15}{3104,Buy,0.3002265,17}{736,Buy,0.1743981,17}{3105,Buy,0.107986,18}{3084,Buy,0.5007965,19}{3167,Buy,NA,19}{868,Hold,0.07982032,22}{4893,Buy,NA,23}{1864,Buy,0.3467409,24}{2208,Buy,0.7202821,26}{430,Buy,0.2030592,27}{430,Buy,0.1574074,29}{3167,Buy,0.4449674,30}{1049,Buy,0.3377103,31}{3084,Buy,0.4537481,32}{2109,Buy,0.2418247,33}{2109,Buy,0.2513556,34}{510,Buy,0.347936,36}{736,Buy,0.1856369,39}{3084,Buy,0.5656433,41}{3167,Buy,0.5350877,42}{3167,Buy,0.5794224,44}{430,Buy,0.3537906,44}{3084,Buy,0.6155235,44}{1864,Buy,0.3537906,44}{1276,Buy,NA,46}{510,Buy,0.4437827,48}{342,Buy,0.3084281,48}{1573,Hold,NA,49}{1049,Buy,0.4818182,50}{868,Hold,0.1363636,50}{3167,Buy,0.5909091,50}{3188,Hold,0.1344042,51}{2109,Buy,0.3612851,51}{1720,Buy,0.4066612,51}{3084,Buy,0.6244668,51}{2144,Buy,0.4066612,51}{3167,Buy,0.5661357,52}{3133,Buy,0.3871487,52}{338,Hold,NA,53}{1864,Buy,0.3558709,53}{3111,Hold,0.2202838,53}{736,Buy,0.2741172,54}{3254,Buy,NA,54}{3178,Hold,0.1376047,54}{1736,Buy,0.3146931,55}{458,Buy,0.5739283,55}{3116,Buy,0.3424683,55}{3084,Buy,0.657254,55}{27788,Buy,0.4211057,56}{3104,Buy,0.4211057,56}{3864,Buy,0.4852847,56}{4404,Hold,0.1918951,56}{137008,Buy,0.3019162,56}{1736,Hold,NA,56}{1455,Buy,0.2072252,57}{2179,Buy,0.4801028,58}{2208,Buy,0.7566974,59}
S161798;{286,Buy,3.021567,0}
S45359401;{530,Buy,0.3790424,0}{138819,Hold,0.001470048,28}{281,Buy,0.1329647,29}{13247,Buy,0.2095274,30}{4086,Hold,0.1163965,31}{4086,Hold,0.1163965,31}{1793,Hold,0.05917792,32}{370,Hold,0.1174813,32}{665,Buy,0.2146536,32}{3054,Buy,0.3312603,32}{2252,Sell,-0.6113109,32}{930,Sell,0.05917792,32}{3636,Buy,0.360412,32}{3134,Buy,0.4964532,32}{4309,Hold,0.241117,33}{3118,Buy,0.385125,34}{15211,Hold,0.1040851,34}{665,Buy,0.2044565,34}{2252,Sell,-0.5985145,34}{1645,Buy,0.2306783,35}{941,Buy,0.2306783,35}{24692,Buy,0.5161957,35}{281,Buy,0.1870845,36}{1736,Buy,0.3295347,36}{603,Buy,0.4416641,37}{3296,Buy,0.3901761,37}{3057,Buy,0.2872001,37}{859,Buy,0.4725569,37}{1704,Buy,0.3184584,38}{370,Hold,0.1663286,38}{137008,Buy,0.4243565,39}{4086,Hold,0.1132623,40}{665,Buy,0.1764706,41}{3057,Buy,0.2537613,43}{859,Buy,0.4817117,48}{1802,Buy,0.8132836,48}{930,Sell,-0.3687677,52}{3057,Buy,0.08752393,56}{4086,Hold,0.0005220115,56}
S3600150;{3602,Buy,0.2506786,0}{4357,Hold,0.3131243,36}{3610,Hold,NA,42}{14866,Hold,0.1307165,42}{4257,Buy,0.2766464,48}{848,Hold,0.1453442,52}
S298662;{871,Hold,0.03786816,0}{4680,Hold,0.04136535,1}{871,Hold,0.02505695,17}{2115,Hold,0.1049724,26}{1986,Buy,0.08944954,33}{871,Hold,-0.01630129,46}{2115,Hold,0.04284104,47}{4680,Sell,-0.1284137,55}
S1086098;{156506,Sell,NA,0}{89295,Hold,-0.06084116,1}{752,Hold,-0.2465467,3}{4891,Hold,0.1363636,43}{7509,Buy,0.3082156,47}{2030,Hold,-0.005756149,47}{4405,Hold,0.3737836,54}{4061,Hold,-0.1907514,56}
S47046130;{1779,Buy,0.2182994,0}
S45111148;{29232,Hold,0.03690618,0}{4302,Buy,0.297599,26}{1823,Buy,0.2943252,30}{38613,Buy,0.335148,32}{2138,Buy,0.3571313,34}
S34392131;{2252,Buy,0.3602457,0}
S18928138;{2105,Buy,2.429429,0}{4400,Buy,2.583611,19}{14483,Buy,2.619233,22}{483,Buy,2.97859,22}{4604,Hold,-0.8501382,46}{4604,Hold,NA,47}{14945,Buy,2.4057,55}
S29576112;{1458,Buy,0.2982456,0}{4365,Hold,NA,9}{4365,Hold,NA,21}{24569,Hold,0.1498973,26}{3222,Sell,-0.1071429,57}
S9220188;{860,Hold,-0.1364209,0}{3172,Hold,NA,0}{3172,Hold,NA,53}
S448588;{4222,Buy,0.9718295,0}{4640,Hold,0.9070275,19}{4876,Hold,0.9885265,22}{4222,Hold,0.9965985,23}{4876,Hold,1.0138,29}
S58469;{290,Hold,0.1538462,0}
S4729863;{3258,Sell,-0.07759527,0}
S1045499;{1313,Hold,0.04476181,0}{1555,Sell,-0.09483645,24}{1718,Buy,0.168024,49}{4078,Buy,NA,49}{29571,Hold,0.07497984,53}{5046,Buy,0.2224681,54}
S48021166;{385,Buy,0.1036789,0}{4138,Hold,NA,0}{4138,Hold,-0.02978956,2}{1712,Hold,NA,5}{1041,Hold,0.04544485,21}{3452,Hold,-0.06561754,30}{579,Buy,0.1420414,48}{4770,Hold,0.04271537,51}{3502,Hold,NA,52}{3426,Buy,0.1043301,56}
S542211;{15196,Hold,0.06283214,0}
S4218276;{4222,Buy,0.1396744,0}{36717,Buy,NA,6}{3807,Hold,NA,18}{3479,Buy,0.2383049,20}{4222,Buy,0.1026817,28}
S2137237;{1054,Buy,0.07727367,0}{1054,Buy,NA,32}
S4951793;{832,Buy,0.222077,0}{1167,Buy,0.2623491,9}{832,Buy,NA,35}{4186,Buy,0.07564539,50}{4132,Hold,0.05343511,53}
S4094584;{7591,Buy,0.7081157,0}{1660,Sell,0.04619552,1}{847,Hold,0.3343451,15}{4876,Buy,NA,22}{4876,Buy,0.5172217,32}{4876,Buy,0.4754145,50}{1660,Sell,-0.08490667,57}
S4218276;{1362,Buy,0.1380263,0}{36717,Hold,NA,21}{4876,Hold,0.05075841,27}{4876,Hold,0.0523614,47}{847,Buy,0.1660189,52}{3479,Buy,NA,57}
S31817100;{1156,Hold,-0.005469915,0}{1156,Hold,0.04431992,24}{1156,Hold,0.02880658,30}{1156,Hold,-0.00102459,35}{223,Buy,0.1479259,38}
S2204583;{3837,Buy,0.2033091,0}{14927,Buy,0.1811024,2}{1673,Hold,0.07816712,34}{14927,Buy,0.149954,45}{906,Hold,NA,46}{1673,Buy,0.01195952,48}{1211,Hold,-0.02714932,50}{869,Hold,-0.09049568,51}{4240,Hold,-0.09049568,51}
S27356109;{3735,Hold,NA,0}{3651,Hold,-0.05476298,8}{4170,Hold,0.3530007,32}{4170,Buy,NA,34}{3490,Hold,0.2674291,37}{1546,Buy,0.3549343,38}{1546,Buy,0.3549343,38}{4333,Buy,0.4122949,40}{1052,Hold,0.02378755,43}{4170,Hold,0.4463475,44}{1496,Hold,0.3219305,44}{4133,Hold,NA,45}{4133,Hold,NA,47}{3633,Hold,0.3220902,49}{1546,Buy,0.2268176,50}{1518,Hold,0.2664224,52}{1546,Buy,0.2499753,52}{11075,Hold,0.2065803,55}{3803,Sell,0.2695938,59}
S368977;{4404,Buy,0.3461538,0}{3864,Sell,-0.07692308,0}{15253,Hold,-0.03846154,0}
S17230176;{1700,Hold,NA,0}{7286,Buy,0.1139134,4}{15240,Buy,0.3070581,9}{1700,Hold,NA,16}{1700,Hold,NA,26}{1700,Hold,NA,32}{4251,Buy,0.2423512,34}{1700,Hold,NA,40}{1700,Hold,NA,45}{4251,Buy,NA,54}
S2519588;{592,Buy,0.5302123,0}{3519,Hold,0.0560755,28}{592,Buy,NA,39}{1346,Buy,0.4413662,44}
S43958155;{1785,Buy,1.072093,0}{6188,Buy,0.9256197,35}{1712,Buy,0.9788733,39}{1712,Buy,0.8640442,49}{1862,Buy,0.8849114,50}{4770,Buy,1.034716,52}
S2838216;{1439,Buy,0.240711,0}{4349,Sell,-0.2529319,2}{1700,Buy,0.4379026,9}{1700,Buy,0.4021518,27}{2074,Buy,NA,27}{4349,Sell,-0.2449779,28}{1079,Sell,-0.1267675,29}{4714,Hold,NA,30}{37912,Buy,NA,34}{1700,Buy,0.3870863,38}{1439,Buy,0.2533926,40}{420,Buy,0.2654444,40}{4714,Hold,NA,45}{1700,Buy,0.3977599,49}{1700,Buy,0.3471832,50}
S2645309;{4086,Buy,0.2408759,0}{14907,Buy,0.3432145,17}{3057,Buy,0.6110472,19}{930,Hold,0.1014227,23}{4419,Buy,NA,29}{930,Hold,0.08352144,31}{3082,Buy,0.172756,33}{3057,Buy,0.3354106,34}{15211,Buy,0.3131538,34}{296,Buy,0.2463833,34}{3012,Buy,0.2345679,35}{1831,Buy,0.2,37}{1704,Buy,0.3647059,37}{3348,Buy,NA,37}{3854,Buy,0.3176471,37}{14907,Buy,0.3682746,39}{281,Buy,0.1850501,40}{13247,Buy,0.2758469,50}{35270,Hold,0.251254,55}
S4729863;{3775,Hold,0.04922534,0}{4641,Hold,0.007673107,34}
S27897285;{1700,Hold,NA,0}{1700,Hold,NA,3}{1700,Hold,NA,8}{4251,Hold,0.2076484,22}{1700,Hold,NA,24}{1700,Hold,NA,33}{1700,Hold,NA,47}{1700,Hold,NA,48}
S4885878;{3807,Buy,NA,0}{125841,Buy,0.1400651,16}{22221,Buy,0.134477,25}{2302,Buy,0.1229724,26}{14970,Hold,0.03978927,26}{360,Hold,0.05865522,55}
S14834153;{1113,Buy,0.1908994,0}{1936,Buy,0.1545678,11}{4309,Buy,0.25,12}{3074,Buy,0.1906534,13}{3154,Buy,0.4139009,13}{1793,Buy,0.3016158,15}{4309,Buy,0.3464991,15}{2252,Buy,0.2866547,15}{1499,Buy,0.299103,19}{3854,Buy,0.2778041,20}{3854,Buy,0.2733847,23}{1793,Buy,0.2448133,27}{1742,Hold,NA,37}
S3860097;{876,Hold,5.063715,0}{3383,Sell,4.935962,12}{4225,Buy,6.062469,38}
S2101714;{21847,Hold,1.480187,0}
