SymbolID;Recommendations;Decision
S39271195;{1710,Buy,0.5945357,0}{3359,Hold,0.6532124,21}{1710,Buy,0.672785,22}{1511,Hold,0.5775737,25}{1710,Buy,0.6100821,29};Buy
S239745;{4178,Hold,-0.01021711,0};Hold
S46582110;{4317,Hold,0.07623318,0}{440,Hold,0.2376682,0}{4148,Buy,NA,0}{4173,Hold,0.1479821,0}{4408,Hold,NA,3}{1212,Hold,0.01726264,27}{440,Hold,NA,47};Buy
S2349116;{3657,Buy,0.3689254,0}{3167,Hold,0.03359173,51};Buy
S39807105;{1671,Hold,0.001465559,0};Buy
S38927421;{3097,Buy,0.1566424,0}{3006,Buy,NA,3}{1674,Buy,0.1303426,15}{1035,Hold,NA,17}{3883,Buy,0.1764706,21}{1035,Hold,0.09227872,25}{4046,Buy,0.3076923,26}{1674,Buy,0.2307692,26}{1674,Buy,0.230296,32};Hold
S32935187;{606,Buy,NA,0}{877,Buy,1.18509,5}{4213,Buy,1.351639,31}{25062,Hold,1.072002,53};Sell
S3940295;{352,Buy,4.710814,0}{793,Buy,NA,47};Sell
S19655115;{8593,Buy,NA,0}{949,Buy,0.3333333,28}{13455,Hold,0.1481481,37};Hold
S3703545;{2215,Sell,NA,0}{3442,Hold,0.02631579,26}{1567,Buy,0.3964092,40};Hold
S1139883;{3432,Buy,0.1076591,0}{4365,Buy,0.2548801,4}{3292,Buy,0.2140954,47};Hold
S11796143;{8593,Hold,NA,0}{2309,Sell,NA,0};Buy
S1627863;{1669,Hold,NA,0};Hold
S421751;{22325,Hold,0.07163189,0}{3457,Buy,0.280387,24}{4128,Buy,0.2156751,40};Hold
S3900156;{294,Sell,1.935652,0}{1184,Hold,2.098743,0}{360,Hold,2.007355,28};Hold
S45649240;{1700,Buy,0.1359075,0}{1700,Buy,0.1590166,9}{1700,Buy,0.1561219,15}{1700,Buy,0.2261782,27}{1700,Buy,0.4478503,41}{865,Buy,NA,50}{1700,Buy,0.5354183,52};Hold
S6362142;{1049,Hold,0.1272142,0}{2208,Buy,0.3512324,41};Buy
S2267887;{1219,Hold,-0.0299982,0};Sell
S31194227;{865,Hold,NA,0}{14935,Buy,0.2093361,44}{1700,Buy,0.1566042,52};Buy
S43958155;{1712,Buy,0.4013465,0}{304,Hold,0.1515638,25}{1712,Buy,0.5404379,38};Hold
S45397242;{879,Buy,2.727589,0}{879,Sell,NA,40};Buy
S46582110;{4173,Hold,0.1271025,0};Hold
S3066798;{3869,Buy,0.1709602,0}{3206,Hold,NA,0}{1988,Hold,NA,0}{1343,Hold,0.05042017,1};Buy
S5265154;{3359,Buy,0.1583012,0}{3897,Buy,0.1575239,7}{497,Hold,0.08471074,11}{1710,Hold,0.1659436,20}{3897,Buy,0.2455024,29};Hold
S4789820;{30301,Buy,0.3484741,0};Hold
S32042162;{5002,Hold,NA,0};Buy
S2596037;{2091,Buy,0.2137681,0}{1091,Buy,0.2987013,38};Sell
S36074187;{1662,Hold,NA,0}{2300,Buy,NA,8}{1185,Hold,NA,12}{1791,Buy,NA,17}{1955,Buy,NA,24}{4487,Sell,-0.1663995,28}{1185,Hold,NA,29}{1927,Buy,NA,46}{4487,Sell,-0.2631579,49}{2080,Hold,0.03640712,51}{4175,Hold,-0.1129032,53};Hold
S7458399;{3057,Buy,0.4336797,0}{603,Buy,0.3493456,0}{1209,Buy,0.3980263,1}{1455,Buy,0.4144737,1}{3057,Buy,0.3980263,1}{930,Buy,0.5789474,1}{2252,Hold,0.04347826,2}{1831,Buy,NA,2}{603,Buy,0.2133345,3}{4545,Sell,NA,3}{1892,Buy,0.2133345,3}{15211,Buy,0.2760464,4}{1704,Buy,0.3661202,4}{1732,Buy,NA,5}{4086,Buy,0.1746988,5}{4309,Buy,0.3222892,5}{3134,Buy,NA,6}{3154,Buy,0.3890175,6}{3054,Hold,0.09457093,7}{8729,Buy,0.2227921,7}{3461,Buy,0.5636728,7}{2252,Hold,0.02749323,8}{296,Buy,0.3072308,9}{3636,Buy,0.3577518,9}{22626,Buy,0.3853503,11}{3830,Buy,0.5286624,11}{603,Buy,0.2426991,14}{941,Buy,0.4788962,19}{930,Buy,0.4197403,19}{3052,Buy,0.2939274,21}{2252,Hold,-0.07596673,23}{15087,Buy,0.2219167,25}{4545,Sell,NA,26}{603,Buy,0.1311615,30}{296,Buy,NA,40}{24119,Buy,NA,43}{1704,Buy,0.3181147,45}{22617,Hold,NA,47}{603,Buy,0.2184633,47}{4486,Buy,0.1910163,48}{1936,Buy,0.1962396,49}{3134,Buy,NA,50}{1831,Buy,NA,52}{24125,Buy,NA,56};Buy
S3350188;{4527,Hold,0.09106779,0}{3105,Hold,0.0566915,25}{2022,Hold,-0.04182007,34}{881,Buy,0.05747991,38}{342,Hold,0.03398035,38}{3104,Hold,-0.07946647,40}{3077,Buy,0.08021792,40}{713,Buy,0.05673492,40}{1078,Buy,0.04846781,42}{3485,Buy,0.1437831,42}{3105,Hold,NA,43}{1864,Hold,NA,46}{430,Buy,0.1073936,46};Sell
S4936756;{3209,Sell,NA,0};Buy
S6362142;{3116,Hold,0.06382979,0};Hold
S110280;{1394,Hold,NA,0};Buy
S3229194;{3813,Hold,-0.01138406,0}{3679,Buy,0.1084482,0}{3622,Hold,-0.02777778,1}{25536,Sell,-0.1713446,49}{8663,Sell,-0.1733333,51};Sell
S1444370;{3457,Buy,0.07781594,0}{3813,Hold,0.06082037,23};Buy
S30331217;{21958,Hold,NA,0}{4225,Hold,NA,49}{4617,Buy,0.2772751,53}{4225,Hold,NA,54};Sell
S42169153;{3502,Buy,NA,0}{4213,Buy,0.155423,38};Hold
S1813783;{847,Hold,-0.05863367,0}{3703,Buy,0.1363636,58};Buy
S19087292;{736,Buy,0.1860638,0}{4481,Buy,0.2026458,4}{1709,Buy,0.124775,6}{3144,Buy,0.1142475,8}{510,Buy,0.1733646,14}{3112,Buy,0.09345386,15}{1530,Buy,0.1968697,22}{3173,Buy,0.1488971,23}{510,Buy,0.205594,33}{942,Buy,0.2461563,42}{510,Buy,NA,45}{510,Buy,0.260928,53}{3144,Buy,0.3102725,55};Sell
S36348162;{1715,Buy,3.892412,0}{3503,Buy,4.273632,17}{2135,Buy,3.955893,22}{3305,Buy,3.415897,30};Sell
S23548466;{3274,Buy,NA,0}{1460,Buy,0.2176039,5}{1717,Hold,NA,17}{932,Buy,0.221374,18}{3326,Hold,0.1452369,22}{869,Buy,0.3102725,23}{1914,Hold,NA,25}{3568,Hold,NA,49}{4989,Hold,-0.01261657,49}{1497,Buy,NA,49}{1717,Hold,NA,51}{1717,Hold,NA,53};Hold
S2349116;{3030,Buy,0.1964736,0}{3030,Buy,0.1150235,29}{3042,Hold,0.0005885815,32};Sell
S1422627;{4319,Hold,NA,0};Hold
S4177747;{3195,Hold,0.07250107,0};Sell
S2910271;{1049,Hold,-0.7269657,0}{1709,Buy,-0.7151345,44};Buy
S3398867;{1900,Buy,-0.2631286,0}{291,Buy,-0.2673624,18}{1218,Hold,-0.3017858,33};Buy
S23548466;{1717,Hold,NA,0}{4626,Buy,NA,14}{3142,Buy,NA,30}{2144,Hold,NA,33}{1717,Buy,0.3083297,46}{2193,Buy,0.08790252,47};Sell
S4667975;{851,Buy,0.1606314,0}{4245,Buy,0.207851,20}{4516,Hold,0.0529019,34};Buy
S4206199;{1567,Buy,NA,0};Hold
S44420110;{3199,Hold,0.06120434,0}{3802,Buy,NA,33};Buy
S536481;{1047,Buy,NA,0};Sell
S2910271;{1530,Sell,NA,0}{3114,Buy,-0.680253,27}{8593,Buy,NA,52};Sell
S448588;{4640,Hold,0.8125912,0};Buy
S24639118;{2131,Buy,0.2604227,0}{8593,Buy,NA,24};Buy
S4185678;{585,Hold,0.01522843,0};Buy
S6788160;{3378,Buy,1.782749,0}{4175,Hold,1.486834,1}{15026,Buy,2.113673,5}{1662,Hold,NA,7}{3378,Buy,1.91415,18}{3563,Buy,1.779638,28}{4175,Hold,1.594099,42};Buy
S2645309;{296,Hold,0.03397341,0}{3007,Buy,0.4717907,9}{4813,Hold,NA,12}{3084,Buy,0.4678899,12}{3854,Hold,0.3761468,12}{3145,Buy,0.6740088,13}{13247,Hold,NA,14}{3970,Sell,NA,14}{603,Hold,0.3428827,14}{13247,Buy,34.81021,14}{1704,Hold,0.1518771,15}{1455,Buy,0.5164152,16}{3054,Hold,0.2636793,16}{270,Hold,28.80626,21}{768,Hold,NA,29}{13247,Hold,0.1235955,29};Buy
S421751;{4128,Buy,0.1992001,0}{3253,Hold,0.09897063,16}{22325,Hold,0.09795415,20}{22325,Hold,0.07129825,34};Hold
S39271195;{1710,Buy,0.713067,0}{308,Hold,0.7448249,5}{1316,Buy,0.9005891,11}{1710,Buy,0.7284687,13}{1399,Hold,0.7010326,13}{3498,Buy,0.932343,27}{1710,Buy,0.8793512,38}{1710,Buy,0.9479243,55};Hold
S47757139;{4035,Hold,0.0940919,0}{2137,Buy,NA,44};Hold
S1674183;{1923,Buy,0.5885023,0}{3352,Buy,NA,34};Sell
S39220131;{29084,Buy,0.06185741,0}{4636,Hold,0.10011,7}{29084,Buy,0.1866642,25};Buy
S30609112;{4080,Buy,0.2084092,0}{2260,Buy,0.2064805,4}{4098,Hold,0.1250402,24}{1071,Buy,0.2478004,40};Buy
S2137237;{3679,Hold,0.07763899,0};Hold
S1723582;{579,Hold,1.211166,0};Buy
S6843203;{1700,Buy,0.3276283,0}{1700,Buy,0.1880718,8}{1700,Buy,0.227661,11}{1700,Buy,0.1706508,21}{1061,Sell,-0.09165534,23}{593,Hold,0.1774838,23}{1700,Buy,0.237974,27}{1519,Buy,NA,30}{1700,Buy,0.318943,34}{1700,Buy,0.3477089,46}{1700,Buy,0.4856697,57};Buy
S2201432;{4028,Buy,0.0940919,0};Hold
S18299154;{3180,Buy,0.5938795,0};Sell
S34211132;{259,Buy,0.09489051,0}{1262,Hold,-0.01395631,2}{3480,Hold,0.07059217,8}{1946,Buy,0.1965812,15}{777,Buy,0.1325028,32}{791,Buy,NA,33}{791,Buy,0.2548263,53}{3480,Hold,0.2285807,57};Buy
S1370961;{379,Hold,0.1379801,0};Hold
S47046130;{4044,Hold,NA,0};Hold
S25183201;{3274,Buy,0.3309672,0};Buy
S1574319;{1782,Hold,-0.0227704,0}{3696,Buy,0.04690117,54};Hold
S33907101;{4374,Buy,0.1063307,0}{740,Hold,-0.01812689,13}{619,Buy,0.1381074,15}{1866,Hold,0.1083256,16}{4612,Hold,0.04926424,18}{309,Hold,-0.02912621,21}{3678,Buy,0.1497223,22}{2152,Hold,0.05929466,22}{4891,Hold,0.05713903,37}{2152,Hold,0.1007863,55};Buy
S15635118;{1666,Buy,0.1526639,0}{3160,Buy,0.1083437,38}{4365,Buy,0.1435832,42}{3135,Buy,0.3553016,45}{837,Buy,0.4561087,49}{3292,Buy,0.31798,50}{3432,Buy,0.5886172,52}{4365,Buy,0.2432656,52}{3222,Buy,0.2863913,55};Hold
S2201432;{754,Buy,NA,0};Sell
S1813783;{6233,Buy,0.133542,0}{292,Hold,0.06593407,48}{379,Hold,0.0528649,49}{4348,Hold,-0.03020845,52}{3479,Hold,0.2652404,57}{3703,Hold,0.03416221,58};Hold
S16029106;{354,Hold,-0.00973758,0}{1715,Buy,0.2428619,48}{1393,Hold,0.07919641,50};Sell
S11027212;{6086,Buy,0.2211006,0}{3526,Hold,NA,31}{6086,Buy,0.1534375,31}{1856,Buy,0.0775535,31}{1856,Buy,0.1455847,42}{2312,Hold,0.03800703,50};Buy
S45122272;{1700,Buy,0.2227239,0}{1700,Buy,0.2495194,2}{1700,Buy,0.2179127,15}{3278,Buy,0.3904338,18}{1700,Buy,0.1069482,21}{864,Hold,0.1220673,27}{1220,Buy,0.2711156,29}{1700,Buy,0.2126112,31}{4349,Hold,-0.0235313,33}{1700,Buy,0.2388503,47}{1700,Buy,0.1853959,56};Hold
S94311056;{3131,Buy,8.305152,0}{510,Buy,0.1899029,0}{1736,Buy,0.01612336,4}{2208,Buy,0.6361059,4}{303,Buy,0.09633997,5}{3105,Buy,NA,6}{1708,Buy,7.407017,7}{342,Buy,0.0328532,8}{430,Buy,0.1239873,8}{3117,Buy,0.1113268,9}{4527,Buy,0.3762861,10}{3117,Buy,0.1469051,10}{3084,Buy,0.4330248,12}{510,Buy,0.2550777,12}{3110,Buy,0.1810644,12}{3104,Buy,0.06295794,12}{2208,Buy,11.30792,14}{4527,Buy,9.182481,16}{3104,Buy,0.0934117,21}{303,Buy,0.2149019,21}{1158,Buy,0.1706921,22}{2109,Buy,0.3314558,23}{3084,Buy,0.4755235,31}{3864,Buy,0.1674471,31}{1573,Buy,0.1870503,32}{3104,Buy,0.1061015,33}{25525,Buy,0.1717286,34}{3104,Buy,6.735884,34}{3105,Buy,NA,35}{342,Buy,0.1210218,36}{471,Hold,NA,37}{1078,Buy,8.212978,37}{303,Buy,0.2299541,38}{510,Buy,0.2819235,39}{342,Buy,0.09377513,39}{3082,Buy,0.3098559,41}{3864,Buy,0.1788703,41}{941,Buy,0.3098559,41}{2208,Buy,0.8190623,41}{1573,Buy,0.1952435,41}{4527,Buy,0.3367395,43}{3105,Buy,NA,44}{3077,Buy,0.3259446,44}{3640,Buy,NA,44}{3084,Buy,0.5649486,45}{1239,Hold,NA,46}{3110,Buy,0.0780351,46}{3117,Buy,0.3040747,46}{2208,Buy,0.9317693,46}{1708,Buy,7.278257,47}{3084,Buy,0.5832176,48}{3133,Buy,0.2741387,49}{3104,Sell,-0.9621687,49}{3125,Buy,NA,51}{3178,Buy,0.2352582,53}{3114,Sell,NA,55}{3110,Buy,0.07929985,55}{342,Buy,0.2180522,56}{430,Buy,NA,57}{303,Buy,0.2684612,59};Sell
S15223161;{4365,Buy,0.256227,0}{3082,Sell,-0.2133727,31}{5017,Buy,0.2322074,35};Buy
S28722136;{3611,Buy,0.08695652,0}{3317,Buy,0.2326656,9}{4484,Buy,0.1021308,32};Sell
S110280;{759,Buy,0.2080213,0}{3260,Hold,NA,40};Hold
S362146;{1218,Hold,-0.0331087,0};Sell
S24027218;{4560,Hold,NA,0}{4560,Hold,NA,29}{4560,Hold,NA,42};Hold
S37310117;{4557,Buy,NA,0};Hold
S38649154;{4688,Hold,0.05092967,0};Sell
S5245105;{1710,Buy,0.2033449,0};Buy
S108661;{906,Buy,0.551033,0}{3635,Hold,0.3988439,30}{4240,Buy,0.4835803,40}{1641,Buy,0.6549402,41}{758,Buy,0.5276372,41};Buy
S3822598;{345,Buy,0.1549689,0}{24607,Hold,0.05490939,27}{3325,Hold,0.01602188,31}{2101,Buy,0.2099546,36}{883,Buy,0.1423196,37}{883,Buy,0.1087645,47}{3792,Buy,NA,49}{631,Hold,0.06666667,53}{345,Buy,0.09919571,54};Sell
S29593164;{2129,Buy,0.4413274,0}{1229,Buy,0.3567493,19}{3932,Buy,0.5952657,29}{2129,Buy,1.637334,29}{2259,Buy,NA,36}{8968,Buy,1.769679,51};Buy
S47341190;{3165,Buy,0.1334552,0}{4527,Buy,0.2079063,12}{430,Buy,0.1989509,24}{1709,Buy,0.3029316,52};Sell
S34392131;{861,Buy,NA,0};Hold
S2368299;{631,Buy,NA,0}{4866,Buy,0.3562387,3};Sell
S39831415;{3348,Buy,1.204295,0}{3054,Buy,0.981797,15}{281,Buy,1.21843,15}{1936,Buy,1.244985,17}{3348,Buy,1.33495,24}{4237,Buy,1.37292,31}{1527,Buy,1.517885,32}{281,Buy,NA,40}{1649,Buy,1.583659,48}{930,Buy,1.606348,50}{1035,Hold,1.25253,52}{1936,Buy,1.662851,53}{4486,Buy,NA,54}{3348,Buy,1.641403,54}{1704,Buy,1.619543,58};Hold
S1878083;{4924,Buy,NA,0}{1816,Hold,NA,24}{3906,Buy,NA,25}{1316,Hold,1.15154,29}{3737,Buy,1.644393,30}{3369,Hold,1.079735,33};Buy
S10502119;{14983,Buy,0.1120996,0}{286,Buy,0.2578616,24}{1062,Hold,0.131333,28}{286,Hold,0.008362027,28}{14983,Buy,0.2515645,39};Buy
S4496116;{8593,Buy,NA,0};Buy
S25246342;{1700,Buy,1.697842,0}{1700,Buy,2.051882,8}{1700,Buy,1.748826,30}{1700,Buy,1.79916,33}{1700,Buy,1.780352,42}{1700,Buy,1.348796,59};Buy
S389685;{3367,Hold,NA,0}{3504,Buy,0.1879266,11}{1164,Buy,NA,13}{1219,Hold,0.1628726,31}{3691,Buy,0.1209239,37};Sell
S1531977;{2135,Buy,0.2578089,0}{299,Buy,0.170275,15}{2135,Buy,0.1240665,24}{1311,Hold,0.01356501,24}{3602,Buy,0.08585961,52};Sell
S27897285;{1700,Buy,0.5491547,0}{1700,Buy,0.6320668,22}{1700,Buy,0.5633664,26}{1700,Buy,1.311883,41}{1700,Buy,1.266169,50};Buy
S29656286;{1249,Buy,0.5053763,0}{2088,Buy,0.7114914,12}{3316,Buy,0.2787724,14}{2255,Buy,NA,25};Buy
S421751;{3813,Hold,0.1676831,0};Hold
S13577141;{14877,Buy,0.3255515,0}{14877,Buy,0.2175177,10}{14877,Buy,0.1802008,21}{14877,Buy,-0.03117844,21}{694,Buy,NA,28};Sell
S3077118;{1712,Hold,-0.1558658,0};Hold
S37172135;{839,Hold,NA,0}{1721,Buy,0.009712472,0}{4744,Buy,0.2212497,16}{1721,Buy,0.1009751,21}{1553,Hold,NA,23}{3505,Buy,0.1340206,23}{3853,Buy,0.2808197,25}{2094,Hold,-0.0144617,26}{839,Hold,-0.05084006,29}{1721,Buy,0.1308562,34}{738,Hold,0.07103825,35}{1230,Buy,0.2568306,35}{4548,Hold,NA,37};Buy
